행정구역(시군구)별,이동규모별,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
서울특별시,계,-43713,-44534,-35079,-34584,-28750,-54068,-49971,-28326,-23218,3868,-6776
부산광역시,계,-21142,-19222,-17890,-15121,-11926,-12412,-14722,-16425,-20656,-17591,-12202
대구광역시,계,-10824,-11383,-9897,-9943,-13115,-10277,-8839,-9846,-10811,-18294,-12346
인천광역시,계,986,11527,13223,10897,3661,3617,3717,480,2036,111,-8940
광주광역시,계,713,-632,-2155,-2804,-2947,-7210,-5696,-6678,-4465,-3490,-4900
대전광역시,계,-418,1358,242,-226,-3860,-8121,-4042,-5662,-5797,-7809,-5300
울산광역시,계,-1339,1395,3248,2390,2386,853,-4977,-8187,-9442,-7850,-9875
경기도,계,79783,45449,46962,38850,31655,50977,69921,59764,85666,75981,101930
강원도,계,-515,2928,-679,1442,223,2891,-240,943,-4777,-682,1930
충청북도,계,2470,3749,2147,1974,1904,1492,2597,1572,3051,711,1041
충청남도,계,8974,10427,6853,8653,7300,6495,8491,11321,5903,113,883
전라북도,계,-4158,-997,-4828,-4528,-4720,-4524,-5975,-6938,-12576,-12157,-8737
전라남도,계,-8226,-5262,-5564,-3656,-2699,-751,-6245,-4753,-8253,-7687,-10327
경상북도,계,-2649,2057,-4334,-2590,-1710,-2833,-5599,-6890,-9324,-6606,-17299
경상남도,계,182,2015,-2569,347,620,1060,-3146,-5711,-8736,-12201,-17595
제주특별자치도,계,-124,1125,2759,4563,6927,9404,9755,9279,5626,1567,1339
