,아파트실거래가격지수(매매)
2011-1분기,0.879396099
2011-2분기,0.897738897
2011-3분기,0.910790504
2011-4분기,0.910085012
2012-1분기,0.910790504
2012-2분기,0.902677343
2012-3분기,0.892447705
2012-4분기,0.885392783
2013-1분기,0.888920244
2013-2분기,0.894564182
2013-3분기,0.903735582
2013-4분기,0.913612473
2014-1분기,0.925605841
2014-2분기,0.930897033
2014-3분기,0.940068433
2014-4분기,0.954531024
2015-1분기,0.970051854
2015-2분기,0.990511129
2015-3분기,1.012381389
2015-4분기,1.02049455
2016-1분기,1.014497866
2016-2분기,1.014850612
2016-3분기,1.030018696
2016-4분기,1.044128541
2017-1분기,1.041306572
2017-2분기,1.046245017
2017-3분기,1.059296624
2017-4분기,1.059296624
2018-1분기,1.05964937
2018-2분기,1.058943878
2018-3분기,1.06882077
2018-4분기,1.077639423
2019-1분기,1.059296624
2019-2분기,1.049772479
2019-3분기,1.058591132
2019-4분기,1.075875692
2020-1분기,1.105153621
2020-2분기,1.126671135
2020-3분기,1.180994039
2020-4분기,1.234258704
