,전국
2011-1분기,243083
2011-2분기,216259
2011-3분기,206719
2011-4분기,203309
2012-1분기,195585
2012-2분기,185998
2012-3분기,208123
2012-4분기,223893
2013-1분기,219199
2013-2분기,202169
2013-3분기,201901
2013-4분기,189233
2014-1분기,159134
2014-2분기,144856
2014-3분기,135239
2014-4분기,120174
2015-1분기,99695
2015-2분기,90303
2015-3분기,97399
2015-4분기,143457
2016-1분기,169554
2016-2분기,169271
2016-3분기,186389
2016-4분기,171704
2017-1분기,182055
2017-2분기,174280
2017-3분기,161832
2017-4분기,169684
2018-1분기,178011
2018-2분기,181469
2018-3분기,186098
2018-4분기,179462
2019-1분기,180923
2019-2분기,188487
2019-3분기,184976
2019-4분기,157456
2020-1분기,121028
2020-2분기,99785
2020-3분기,86023
2020-4분기,69328
