,(2) 현실적 시장가치
2011-1분기,0.789663159
2011-2분기,0.828385616
2011-3분기,0.971812176
2011-4분기,1.131842487
2012-1분기,0.803328873
2012-2분기,0.812325102
2012-3분기,0.807234784
2012-4분기,0.899912508
2013-1분기,0.461342786
2013-2분기,0.630648545
2013-3분기,0.740780482
2013-4분기,0.854592765
2014-1분기,0.635632524
2014-2분기,0.909026864
2014-3분기,1.078598558
2014-4분기,0.886672658
2015-1분기,1.194295216
2015-2분기,0.852581033
2015-3분기,1.179757673
2015-4분기,0.79541346
2016-1분기,1.119329231
2016-2분기,0.962999004
2016-3분기,1.273679628
2016-4분기,1.299840382
2017-1분기,1.071031389
2017-2분기,1.480496959
2017-3분기,1.403913735
2017-4분기,1.507115719
2018-1분기,1.37839555
2018-2분기,1.257816461
2018-3분기,1.414960616
2018-4분기,3.527396497
2019-1분기,1.740085261
2019-2분기,1.49365462
2019-3분기,2.393372068
2019-4분기,3.342003817
2020-1분기,2.081538122
2020-2분기,2.225802317
2020-3분기,2.331017544
2020-4분기,2.552635194
